subject;stimulus;response;reactionTime
1discovery;L1_151_sent10;American;4.767878293991089
1discovery;L1_069_sent12;American;5.574156999588013
1discovery;L2_308_sent08;British;2.42376708984375
1discovery;L1_017_sent03;American;7.337352991104126
1discovery;L2_230_sent09;British;4.2648138999938965
1discovery;L3_201_sent03;British;5.01167106628418
1discovery;L1_017_sent01;British;4.001740217208862
1discovery;L2_230_sent10;American;3.5048398971557617
1discovery;L1_069_sent03;American;4.366770029067993
1discovery;L1_154_sent08;British;2.3641421794891357
1discovery;L1_017_sent12;British;3.4697887897491455
1discovery;L2_308_sent10;British;9.461812973022461
1discovery;L2_228_sent12;British;4.401009798049927
1discovery;L1_029_sent10;British;3.295970916748047
1discovery;L1_154_sent05;British;3.4291157722473145
1discovery;L1_192_sent08;British;3.942566156387329
1discovery;L1_029_sent04;British;7.066496849060059
1discovery;L2_228_sent03;British;4.057570934295654
1discovery;L2_228_sent10;British;2.5610179901123047
1discovery;L2_228_sent04;British;2.397672176361084
1discovery;L1_029_sent01;British;3.1101558208465576
1discovery;L2_308_sent05;British;9.20510721206665
1discovery;L1_192_sent03;British;5.278923988342285
1discovery;L1_029_sent02;British;5.254275798797607
1discovery;L2_230_sent08;American;4.114418983459473
1discovery;L3_201_sent09;British;6.745959281921387
1discovery;L2_307_sent04;British;3.577009916305542
1discovery;L2_228_sent09;British;3.120293140411377
1discovery;L1_069_sent09;British;7.443709850311279
1discovery;L2_228_sent08;British;3.8976891040802
1discovery;L3_201_sent01;British;6.373678922653198
1discovery;L1_192_sent10;British;3.198700189590454
1discovery;L1_069_sent04;American;6.0582051277160645
1discovery;L3_201_sent12;American;5.5470051765441895
1discovery;L1_154_sent03;British;2.6521739959716797
1discovery;L2_308_sent04;British;3.9102110862731934
1discovery;L1_069_sent08;American;3.183422088623047
1discovery;L2_307_sent12;British;3.5721092224121094
1discovery;L1_029_sent09;British;6.369113206863403
1discovery;L2_228_sent01;British;4.614207983016968
1discovery;L1_151_sent03;American;3.2549471855163574
1discovery;L2_308_sent09;British;2.984689950942993
1discovery;L2_307_sent10;British;7.891071081161499
1discovery;L1_192_sent09;British;4.580065011978149
1discovery;L2_230_sent05;American;2.654695987701416
1discovery;L2_230_sent06;American;2.4633736610412598
1discovery;L2_230_sent01;American;2.7716221809387207
1discovery;L1_151_sent05;American;2.647343158721924
1discovery;L1_069_sent10;British;2.535794734954834
1discovery;L3_201_sent10;British;5.613054037094116
1discovery;L1_154_sent09;British;7.613099098205566
1discovery;L3_201_sent04;British;5.350434064865112
1discovery;L1_154_sent12;British;3.019767999649048
1discovery;L2_307_sent03;British;3.453514814376831
1discovery;L2_307_sent01;British;1.6830990314483643
1discovery;L1_017_sent08;American;6.575027942657471
1discovery;L1_017_sent09;American;2.089920997619629
1discovery;L2_308_sent02;British;5.5352818965911865
1discovery;L3_201_sent02;British;6.394604206085205
1discovery;L1_192_sent04;British;3.202298164367676
1discovery;L1_069_sent06;American;3.2946972846984863
1discovery;L2_308_sent01;British;3.0189969539642334
1discovery;L2_230_sent04;American;2.908675193786621
1discovery;L1_151_sent04;American;7.0866379737854
1discovery;L3_201_sent08;British;7.671641826629639
1discovery;L1_151_sent01;American;6.835920095443726
1discovery;L1_069_sent02;British;7.891167879104614
1discovery;L1_151_sent06;American;5.34266209602356
1discovery;L1_017_sent02;American;9.055475950241089
1discovery;L1_154_sent04;British;2.499268054962158
1discovery;L1_192_sent02;British;3.566317081451416
1discovery;L2_228_sent06;British;3.4886057376861572
1discovery;L2_228_sent02;British;2.397942066192627
1discovery;L2_307_sent09;British;2.073223829269409
1discovery;L1_154_sent01;British;3.101846218109131
1discovery;L1_017_sent06;American;6.289716958999634
1discovery;L3_201_sent05;British;9.774613857269287
1discovery;L1_069_sent01;American;4.107183218002319
1discovery;L2_228_sent05;British;2.885150909423828
1discovery;L1_151_sent09;American;3.6585500240325928
1discovery;L1_151_sent02;American;2.590388298034668
1discovery;L2_307_sent05;British;2.973344087600708
1discovery;L1_029_sent08;British;5.020783185958862
1discovery;L1_192_sent06;British;4.249872207641602
1discovery;L2_230_sent12;American;2.7612643241882324
1discovery;L1_017_sent04;British;3.819364070892334
1discovery;L1_069_sent05;British;9.215490102767944
1discovery;L2_307_sent08;British;2.724065065383911
1discovery;L2_230_sent02;American;5.294555902481079
1discovery;L1_029_sent12;British;3.515820026397705
1discovery;L2_230_sent03;American;2.723475933074951
1discovery;L1_017_sent05;American;4.901164770126343
1discovery;L1_029_sent05;British;2.810142993927002
1discovery;L1_154_sent06;British;3.729714870452881
1discovery;L2_308_sent06;American;4.225042819976807
1discovery;L2_308_sent03;British;2.2263340950012207
1discovery;L1_154_sent10;British;2.7258758544921875
1discovery;L1_192_sent05;British;3.5496792793273926
1discovery;L1_154_sent02;British;3.314669132232666
1discovery;L2_308_sent12;American;3.204185962677002
1discovery;L1_151_sent08;American;4.8382110595703125
1discovery;L3_201_sent06;British;3.3346738815307617
1discovery;L1_192_sent01;British;3.540355920791626
1discovery;L1_017_sent10;British;2.5358269214630127
1discovery;L1_192_sent12;British;2.906075954437256
1discovery;L1_151_sent12;American;3.8285579681396484
1discovery;L2_307_sent06;British;1.9825809001922607
1discovery;L1_029_sent06;American;8.020518064498901
1discovery;L1_029_sent03;American;6.806349277496338
1discovery;L2_307_sent02;American;2.918032169342041
