subject;stimulus;response;reactionTime
1discovery;L1_029_sent10;British;2.640166759490967
1discovery;L2_228_sent03;British;6.68518590927124
1discovery;L2_230_sent10;American;3.018277883529663
1discovery;L2_308_sent03;British;2.9605398178100586
1discovery;L1_017_sent10;American;7.921206951141357
1discovery;L1_017_sent09;British;7.245681047439575
1discovery;L3_201_sent05;British;10.416792154312134
1discovery;L1_017_sent06;British;8.230078220367432
1discovery;L1_069_sent01;British;7.5001819133758545
1discovery;L1_154_sent09;British;10.022160768508911
1discovery;L2_308_sent08;American;5.713731050491333
1discovery;L2_230_sent05;American;4.877938985824585
1discovery;L2_308_sent05;British;9.10854458808899
1discovery;L1_151_sent04;American;4.997520208358765
1discovery;L1_192_sent09;British;5.895395278930664
1discovery;L1_069_sent06;American;6.967183828353882
1discovery;L1_069_sent12;American;8.103266954421997
1discovery;L2_228_sent08;British;5.456364870071411
1discovery;L2_308_sent06;American;8.146213293075562
1discovery;L2_228_sent12;British;5.242652893066406
1discovery;L1_017_sent04;American;10.599179983139038
1discovery;L2_308_sent04;British;6.7216269969940186
1discovery;L1_154_sent06;British;10.184176206588745
1discovery;L1_192_sent10;British;7.490499973297119
1discovery;L2_228_sent02;British;8.478294134140015
1discovery;L1_151_sent06;American;3.0050060749053955
1discovery;L1_069_sent09;British;6.714398145675659
1discovery;L1_069_sent08;American;9.360111236572266
1discovery;L2_308_sent09;British;3.4355692863464355
1discovery;L1_069_sent10;British;10.90053415298462
1discovery;L1_192_sent12;British;8.254756927490234
1discovery;L1_154_sent08;British;10.17082691192627
1discovery;L1_154_sent04;British;4.31648325920105
1discovery;L1_151_sent09;American;3.491753101348877
1discovery;L1_151_sent01;American;5.170337200164795
1discovery;L2_307_sent03;British;8.091638088226318
1discovery;L1_017_sent03;British;5.298840045928955
1discovery;L1_029_sent04;British;7.848505735397339
1discovery;L1_017_sent08;British;5.138085126876831
1discovery;L2_308_sent12;American;5.7366578578948975
1discovery;L1_069_sent04;British;4.933592081069946
1discovery;L2_230_sent12;American;4.321583032608032
1discovery;L1_029_sent03;American;9.110984802246094
1discovery;L1_029_sent08;American;9.048293113708496
1discovery;L3_201_sent12;British;7.806755065917969
1discovery;L3_201_sent01;British;4.988723039627075
1discovery;L2_228_sent01;British;3.687835216522217
1discovery;L2_307_sent02;British;5.916507005691528
1discovery;L1_029_sent12;American;9.221441984176636
1discovery;L2_230_sent03;American;7.704555034637451
1discovery;L1_151_sent10;American;3.4944779872894287
1discovery;L2_307_sent01;British;6.625018119812012
1discovery;L1_192_sent02;British;4.658379077911377
1discovery;L1_154_sent10;British;7.536855936050415
1discovery;L1_192_sent05;British;5.90566611289978
1discovery;L3_201_sent09;American;5.794962167739868
1discovery;L1_154_sent01;British;4.047296047210693
1discovery;L2_230_sent09;American;3.042712926864624
1discovery;L2_307_sent06;British;5.90332818031311
1discovery;L1_151_sent03;American;5.212456941604614
1discovery;L3_201_sent08;American;7.264714956283569
1discovery;L1_154_sent05;British;6.870373010635376
1discovery;L1_151_sent12;American;3.32715106010437
1discovery;L1_029_sent02;British;6.355295896530151
1discovery;L2_230_sent02;American;5.643072843551636
1discovery;L3_201_sent06;American;10.63092827796936
1discovery;L3_201_sent02;American;7.584572076797485
1discovery;L2_307_sent12;British;5.496264934539795
1discovery;L1_017_sent05;British;5.6998960971832275
1discovery;L1_192_sent01;British;5.151828050613403
1discovery;L3_201_sent04;British;9.080976009368896
1discovery;L2_228_sent09;British;6.534117937088013
1discovery;L2_308_sent01;American;4.936166286468506
1discovery;L1_069_sent05;British;7.383181810379028
1discovery;L1_029_sent06;British;11.792958974838257
1discovery;L1_192_sent03;British;6.396562814712524
1discovery;L1_029_sent05;British;10.695141792297363
1discovery;L1_192_sent06;British;5.559636116027832
1discovery;L1_154_sent03;British;4.064241886138916
1discovery;L2_228_sent05;British;6.398692846298218
1discovery;L2_308_sent02;British;7.357637166976929
1discovery;L2_307_sent09;British;6.4727349281311035
1discovery;L2_308_sent10;American;3.180433750152588
1discovery;L1_029_sent09;British;8.302526950836182
1discovery;L2_230_sent08;American;3.2389371395111084
1discovery;L2_230_sent01;American;7.722548246383667
1discovery;L1_029_sent01;American;9.447843790054321
1discovery;L2_230_sent06;American;3.38848614692688
1discovery;L1_192_sent04;British;5.639244079589844
1discovery;L2_230_sent04;American;4.006908178329468
1discovery;L1_192_sent08;British;6.296773195266724
1discovery;L2_228_sent04;British;3.692445755004883
1discovery;L2_228_sent06;British;4.200408935546875
1discovery;L1_154_sent02;British;5.831622123718262
1discovery;L1_017_sent01;British;5.178461313247681
1discovery;L1_151_sent02;American;4.426490068435669
1discovery;L1_017_sent02;American;8.412721872329712
1discovery;L1_151_sent05;American;3.1663730144500732
1discovery;L2_307_sent10;British;4.458738088607788
1discovery;L2_307_sent05;British;7.990218162536621
1discovery;L3_201_sent10;American;4.742703914642334
1discovery;L1_017_sent12;British;3.3156049251556396
1discovery;L3_201_sent03;American;7.37131404876709
1discovery;L2_307_sent04;British;4.6094207763671875
1discovery;L1_151_sent08;American;3.701965093612671
1discovery;L1_069_sent02;British;4.799530744552612
1discovery;L2_307_sent08;British;6.485361814498901
1discovery;L1_069_sent03;British;8.642753839492798
1discovery;L1_154_sent12;British;5.450094938278198
1discovery;L2_228_sent10;British;4.0482611656188965
